source_col,input_cols,target_col
Points 2,Position<|>Team<|>Played<|>Drawn<|>Lost<|>Goals For<|>Goals Against<|>Goal Difference<|>Points 1,Points 1
Year ended,Year<|>Men's singles<|>Women's singles<|>Men's doubles<|>Women's doubles<|>Mixed doubles,Year
Year ended,Year<|>Gold<|>Silver<|>Bronze<|>Total,Year
Fastest laps,Name<|>Pole Position<|>Fastest Lap<|>Winning driver<|>Winning team<|>Report,Fastest Lap
Fastest laps,Race<|>Circuit<|>Date<|>Pole position<|>Fastest lap<|>Winning driver<|>Constructor<|>Tyre<|>Report,Fastest lap
Year of Issue,Week of<|>Tournament<|>Champion<|>Runner-up<|>Semifinalists<|>Quarterfinalists,Week of
Year ended,Pick<|>Player<|>Team<|>Position<|>Year,Year
GAMES,Position<|>Club (City/Town)<|>Games Played<|>W-L-D<|>Goals For/Against<|>Points,Games Played
Year ended,Year<|>Record<|>Seed<|>Region<|>Results,Year
Last season,Driver<|>Season<|>Races<|>Poles<|>Percentage,Season
Original Canadian air date,No. in series<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code<|>U.S. viewers (million),Original air date
Start Time,Res.<|>Record<|>Opponent<|>Method<|>Event<|>Round<|>Time<|>Location,Time
Start Time,Res.<|>Record<|>Opponent<|>Method<|>Round<|>Time<|>Location,Time
Year ended,Year<|>Total matches<|>Total W-L-H<|>Singles W-L-H<|>Points won<|>Points %,Year
Total Apps (Sub),Year<|>Total matches<|>Total W-L-H<|>Singles W-L-H<|>Points won<|>Points %,Total W-L-H
"Area (1930) in 1,000skm 2","land formation<|>area, km²<|>of which currently forests, km²<|>% forests<|>habitat type","of which currently forests, km²"
August,Game<|>January<|>Opponent<|>Score<|>Record<|>Points,January
January,Game<|>December<|>Opponent<|>Score<|>Record<|>Points,December
Start Time,Game<|>Date<|>Score<|>Location<|>Time<|>Attendance,Time
Year ended,Year<|>Mens singles<|>Womens singles<|>Mens doubles<|>Womens doubles<|>Mixed doubles,Year
Year ended,Year<|>Title<|>Performer<|>Label<|>Cat. No.,Year
Year ended,Score<|>Batsmen<|>Against<|>Location<|>Year,Year
Year ended,Year<|>Driver<|>Constructor<|>Location<|>Formula<|>Report,Year
Second Leg,Team 1<|>Agg.<|>Team 2<|>1st leg<|>2nd leg,2nd leg
Fastest laps,Round<|>Circuit<|>Date<|>Pole position<|>Fastest lap<|>Winning driver<|>Winning team,Fastest lap
Year ended,Year<|>Competition<|>Venue<|>Position<|>Event,Year
Height (m ft),Name<|>Height (cm)<|>Weight (kg)<|>Birthdate<|>Birthplace<|>1963–1964 Team,Height (cm)
Leader's Team,Round<|>Player<|>Position<|>Nationality<|>College/Junior/Club Team (League),College/Junior/Club Team (League)
Start Time,Episode<|>Broadcast date<|>Run time<|>Viewers (in millions)<|>Archive,Run time
Completed?,Episode<|>Broadcast date<|>Run time<|>Viewers (in millions)<|>Archive,Viewers (in millions)
Season episode,Episode<|>Broadcast date<|>Run time<|>Viewers (in millions)<|>Archive,Episode
Original Canadian air date,No. in series<|>No. in season<|>Title<|>Director<|>Writer(s)<|>Original air date<|>Production code,Original air date
"Area (1930) in 1,000skm 2",DVD name<|>Episodes<|>Region 1 (CAN)<|>Region 1 (US)<|>Region 2 (FR)<|>Region 4,Region 2 (FR)
Proto-Italo-Western 1,DVD name<|>Episodes<|>Region 1 (CAN)<|>Region 1 (US)<|>Region 2 (FR)<|>Region 4,Region 1 (CAN)
Year ended,"Engine code<|>Displacement<|>Power, Torque@rpm<|>Redline (rpm)<|>Year",Year
Year ended,Year<|>Player<|>School<|>Hometown<|>College<|>NBA Draft,Year
High school,Year<|>Player<|>School<|>Hometown<|>College<|>NBA Draft,School
Original Canadian air date,No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>Original air date<|>U.S. viewers (millions),Original air date
Range (varies with payload weight),Designation (bore)<|>Length Overall<|>Weight of Gun<|>Weight of Shot<|>Weight of Shell<|>Service Charge<|>Range (yards),Range (yards)
from,Nat.<|>Name<|>Moving from<|>Type<|>Transfer window<|>Ends,Moving from
Year ended,Year<|>Edition<|>Host city<|>Gold<|>Silver<|>Bronze<|>Total,Year
Fastest laps,Round<|>Date<|>Grand Prix<|>Circuit<|>Pole Position<|>Fastest Lap<|>Race Winner,Fastest Lap
On air date,#<|>Episode<|>Air Date<|>Rating<|>Share<|>18-49 (Rating/Share)<|>Viewers (m)<|>Weekly Rank (#),Air Date
Season episode,#<|>Episode<|>Air Date<|>Rating<|>Share<|>18-49 (Rating/Share)<|>Viewers (m)<|>Weekly Rank (#),Episode
Open Cup,Name<|>Years<|>MLS Cup<|>U.S. Open Cup<|>CONCACAF<|>Other<|>Total,U.S. Open Cup
Year ended,Year<|>Competition<|>Venue<|>Position<|>Notes,Year
"$50,000 to $60,000",Companion (in order from star)<|>Mass<|>Semimajor axis ( AU )<|>Orbital period ( s day )<|>Eccentricity<|>Inclination,Companion (in order from star)
Fastest laps,Grand Prix<|>Date<|>Location<|>Pole Position<|>Fastest Lap<|>Winning Driver<|>Constructor<|>Report,Fastest Lap
Last season,Season<|>Series<|>Team<|>Races<|>Wins<|>Poles<|>F/Laps<|>Podiums<|>Points<|>Position,Season
Points classification Klasyfikacja punktowa,Rank<|>Club<|>Seasons<|>Played<|>Drew<|>Lost<|>Points<|>Avg. Points<|>Goals for<|>Goals against<|>Goal diff,Avg. Points
Prize money ( $ ),Place<|>Player<|>Country<|>Score<|>To par<|>Money ( $ ),Money ( $ )
Wins (Indoor),Player<|>Country<|>Year(s) won<|>Total<|>To par,Year(s) won
Wins (Indoor),Player<|>Country<|>Year(s) won<|>Total<|>To par<|>Finish,Year(s) won
Purse ( $ ),Year<|>Tournaments played<|>Cuts made*<|>Wins<|>2nd<|>3rd<|>Top 10s<|>Best finish<|>Earnings ( $ )<|>Money list rank<|>Scoring average<|>Scoring rank,Earnings ( $ )
Year ended,Year<|>Tournaments played<|>Cuts made*<|>Wins<|>2nd<|>3rd<|>Top 10s<|>Best finish<|>Earnings ( $ )<|>Money list rank<|>Scoring average<|>Scoring rank,Year
Start Time,Rank<|>Name<|>Attempts<|>Net Yds<|>Yds/Att<|>Touchdowns<|>Long<|>Start,Start
Year ended,Year<|>1st Position<|>2nd Position<|>9th Position<|>10th Position,Year
Original Canadian air date,# (season #)<|>No. (episode #)<|>Title<|>Directed by<|>Written by<|>Original air date<|>Prod. code,Original air date
ZIP code Prefix(es),# (season #)<|>No. (episode #)<|>Title<|>Directed by<|>Written by<|>Original air date<|>Prod. code,Prod. code
Completed?,# (season #)<|>No. (episode #)<|>Title<|>Directed by<|>Written by<|>Original air date<|>Prod. code,# (season #)
Ep. No.,# (season #)<|>No. (episode #)<|>Title<|>Directed by<|>Written by<|>Original air date<|>Prod. code,No. (episode #)
Start Time,Rank<|>Rowers<|>Country<|>Time<|>Notes,Time
Start Time,Rank<|>Athlete<|>Country<|>Time<|>Notes,Time
Start Time,Record<|>Date<|>Driver<|>Time<|>Speed/Avg. Speed,Time
Conduction speed (m s),Record<|>Date<|>Driver<|>Time<|>Speed/Avg. Speed,Speed/Avg. Speed
Number of Districts (kecamatan),Constituency number<|>Name<|>Reserved for ( SC / ST /None)<|>District<|>Number of electorates (2009),Number of electorates (2009)
Start Time,Time<|>Show Name<|>Local/Networked<|>Ad Freq<|>News Freq,Time
Start Time,Time<|>Show Name<|>DJ's<|>Local/Networked<|>Ad Freq<|>News Freq,Time
Year ended,Year<|>Henlopen West Division<|>Henlopen East Division<|>Conference Championship Game<|>Conference Champion,Year
% Win,Played<|>Drawn<|>Lost<|>Winning %<|>Tries<|>Conversions<|>Penalties<|>s Drop goal<|>Points total,Winning %
High school,School<|>Location<|>Mascot<|>County<|>Year joined<|>Previous Conference<|>Year Left<|>Conference joined,School
English party name,English Name<|>Simplified<|>Traditional<|>Pinyin<|>Hakka<|>Area<|>Population<|>Density,English Name
Year ended,Movie Title<|>Year<|>Role<|>Director<|>Producer,Year
Last season,Discipline<|>Season<|>Performance<|>Place<|>Date,Season
Year ended,Year<|>Name<|>Western States<|>Vermont<|>Leadville<|>Wasatch<|>Total time,Year
Original Canadian air date,No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code<|>U.S. viewers (millions),Original air date
Year ended,Year<|>Theme<|>Artist<|>Composition<|>Mintage<|>Issue Price,Year
Original Canadian air date,No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code,Original air date
Year ended,Year<|>Series<|>Make<|>Driver<|>Team<|>Schedule<|>Role,Year
Overs,Name<|>Overs Bowled<|>Maidens<|>Runs Conceded<|>Wickets<|>Extras<|>E.R.,Overs Bowled
GAMES,Position<|>Club<|>Games played<|>Wins<|>Draws<|>Loses<|>Goals scored<|>Goals conceded<|>Points,Games played
Number of cars,Village (German)<|>Village (Slovenian)<|>Number of people 1991<|>Percent of Slovenes 1991<|>Percent of Slovenes 1951,Number of people 1991
Year ended,Code<|>Vehicle<|>Year<|>Displacement<|>Bore<|>Stroke<|>C.R.<|>Max. Power,Year
Season episode,#<|>Episode<|>Rating<|>Share<|>Rating/Share (18-49)<|>Viewers (millions)<|>Rank (Night),Episode
(BH) max (kJ m 3 ),[A] (mol/L)<|>pH<|>[H 3 PO 4 ]/[A] (%)<|>[H 2 PO 4 − ]/[A] (%)<|>[HPO 4 2− ]/[A] (%)<|>[PO 4 3− ]/[A] (%),[H 3 PO 4 ]/[A] (%)
Proto-Italo-Western 1,[A] (mol/L)<|>pH<|>[H 3 PO 4 ]/[A] (%)<|>[H 2 PO 4 − ]/[A] (%)<|>[HPO 4 2− ]/[A] (%)<|>[PO 4 3− ]/[A] (%),[H 2 PO 4 − ]/[A] (%)
☵ 坎 Kǎn Water,[A] (mol/L)<|>pH<|>[H 3 PO 4 ]/[A] (%)<|>[H 2 PO 4 − ]/[A] (%)<|>[HPO 4 2− ]/[A] (%)<|>[PO 4 3− ]/[A] (%),[PO 4 3− ]/[A] (%)
Change (SW Eng),[A] (mol/L)<|>pH<|>[H 3 PO 4 ]/[A] (%)<|>[H 2 PO 4 − ]/[A] (%)<|>[HPO 4 2− ]/[A] (%)<|>[PO 4 3− ]/[A] (%),[HPO 4 2− ]/[A] (%)
Year ended,Year<|>Population(M)<|>Coal<|>Oil<|>Gas<|>sub total<|>Nuclear<|>Hydro<|>Geo Thermal<|>Solar<|>Wind<|>Wood<|>Bio other<|>sub Total<|>Misc<|>Total,Year
Kickoff ( ET ),Week<|>Date<|>Opponent<|>Time ( ET )<|>Game site<|>Result<|>Record,Time ( ET )
Weeks in top 12,Year<|>Starts<|>Wins<|>Top 5<|>Top 10<|>Poles<|>Avg. Start<|>Avg. Finish<|>Winnings<|>Position<|>Team(s),Top 10
Year ended,Year<|>Starts<|>Wins<|>Top 5<|>Top 10<|>Poles<|>Avg. Start<|>Avg. Finish<|>Winnings<|>Position<|>Team(s),Year
Lum. (L 0 ),English<|>Latin<|>Proto-Italo-Western 1<|>Conservative Central Italian 1<|>Italian<|>Spanish<|>Catalan<|>Old French,Proto-Italo-Western 1
Year [A ],Year (Ceremony)<|>Film title<|>Language(s)<|>Director<|>Result,Year (Ceremony)
Start Time,Rider<|>Manufacturer<|>Laps<|>Time<|>Grid,Time
Start Time,Track<|>Recorded<|>Original Issue<|>Song Title<|>Time,Time
Song 2 title,Track<|>Recorded<|>Original Issue<|>Song Title<|>Time,Song Title
Start Time,Track<|>Recorded<|>Catalogue<|>Release Date<|>Song Title<|>Time,Time
Song 2 title,Track<|>Recorded<|>Catalogue<|>Release Date<|>Song Title<|>Time,Song Title
Original Canadian air date,No.<|>#<|>Title<|>Directed by<|>Story by<|>Teleplay by<|>Original air date<|>U.S. viewers (millions),Original air date
Original Canadian air date,No.<|>Title<|>Directed by<|>Story by<|>Teleplay by<|>Original air date<|>U.S. viewers (millions),Original air date
Year ended,Year<|>Round<|>Opponent<|>Result<|>BSU Head Coach,Year
Academy Award,Year<|>Award<|>Category<|>Recipient<|>Result,Award
Year ended,Year<|>Award<|>Category<|>Recipient<|>Result,Year
Fastest laps,Round<|>Country<|>Circuit<|>Date<|>Pole Position<|>Fastest Lap<|>Winning Rider<|>Winning Team<|>Report,Fastest Lap
Reason for separation,State<|>Born/Died<|>Active service<|>Chief Judge<|>Senior status<|>Appointed by<|>Reason for termination,Reason for termination
Last season,League<|>Season<|>Name<|>Place<|>Record<|>Head Coach<|>Points<|>Rebounds<|>Assists<|>Steals<|>Turnover,Season
Opponent in the Final,Outcome<|>Year<|>Championship<|>Surface<|>Partner<|>Opponents in the final<|>Score in the final,Opponents in the final
Year ended,Outcome<|>Year<|>Championship<|>Surface<|>Partner<|>Opponents in the final<|>Score in the final,Year
1st runner-up,Season Number<|>Premiere Date<|>Winner<|>Runner Up<|>2nd Runner-up<|>3rd Runner-up,2nd Runner-up
Year ended,Year<|>Start<|>Qual<|>Rank<|>Finish<|>Laps,Year
Start Time,Year<|>Start<|>Qual<|>Rank<|>Finish<|>Laps,Start
Reason for separation,District<|>Vacator<|>Reason for change<|>Successor<|>Date successor seated,Reason for change
Reason for separation,State (class)<|>Vacator<|>Reason for change<|>Successor<|>Date of successors formal installation,Reason for change
Year ended,Make/ Model<|>Length<|>Year<|>Numbers (Quantity Ordered)<|>Fuel Propulsion<|>Year Retired,Year
Change (SW Eng),Make/ Model<|>Length<|>Year<|>Numbers (Quantity Ordered)<|>Fuel Propulsion<|>Year Retired,Numbers (Quantity Ordered)
"Area (1930) in 1,000skm 2",District<|>Capital City<|>Area (km²)<|>Area (sq.mi)<|>Population (2005 est)<|>2-letter abbreviation<|>3-letter abbreviation,Area (km²)
Population (Bundaberg),District<|>Capital City<|>Area (km²)<|>Area (sq.mi)<|>Population (2005 est)<|>2-letter abbreviation<|>3-letter abbreviation,Population (2005 est)
Year [A ],Rank<|>Building [A ]<|>City<|>Country<|>Height (m)<|>Height (ft)<|>Floors<|>Built,Building [A ]
Height (m ft),Rank<|>Building [A ]<|>City<|>Country<|>Height (m)<|>Height (ft)<|>Floors<|>Built,Height (m)
Number of episode,Airing date<|>English title (Chinese title)<|>Number of episodes<|>Genre<|>Official website,Number of episodes
Official or native language(s) (alphabet script),Airing date<|>English title (Chinese title)<|>Number of episodes<|>Genre<|>Official website,English title (Chinese title)
Start Time,Rider<|>Bike<|>Laps<|>Time<|>Grid,Time
Year ended,Year<|>Chassis<|>Engine(s)<|>Tyres<|>Points,Year
Official ITV rating (millions),Episode<|>Date<|>Official rating 4+<|>Share 4+<|>Official rating 16-39<|>Share 16-39,Official rating 4+
Season episode,Episode<|>Date<|>Official rating 4+<|>Share 4+<|>Official rating 16-39<|>Share 16-39,Episode
Year ended,Year<|>Titleholder<|>Official Title<|>Represent<|>International Pageant<|>Placement,Year
Clubs from the previous round,Round<|>Clubs remaining<|>Clubs involved<|>Winners from previous round<|>New entries this round<|>Leagues entering at this round,Winners from previous round
Year [A ],Year (Ceremony)<|>Original title<|>English title<|>Director<|>Result,Year (Ceremony)
Academy Award,Year<|>Award<|>Category<|>Nominated Work<|>Result,Award
Year ended,Year<|>Award<|>Category<|>Nominated Work<|>Result,Year
Year [A ],Name<|>Years<|>League<|>FA Cup<|>League Cup<|>Europe<|>Other [C ]<|>Total,Other [C ]
Singapore League Cup,Name<|>Years<|>League<|>FA Cup<|>League Cup<|>Europe<|>Other [C ]<|>Total,League Cup
FA Cup goals,Name<|>Years<|>League<|>FA Cup<|>League Cup<|>Europe<|>Other [C ]<|>Total,FA Cup
Last season,Season<|>Wins<|>Losses<|>Win%<|>Games behind<|>Playoffs<|>Results,Season
Year ended,Year<|>Entrant<|>Chassis<|>Engine<|>Points,Year
Rushing yards,Date<|>Kicker<|>Kicking team<|>Opponent<|>Yards<|>Result<|>Game time,Yards
Year ended,Year<|>Played<|>Wins<|>Losses<|>No Result<|>% Win,Year
Fastest laps,Round<|>Race<|>Circuit<|>Date<|>Pole Position<|>Fastest Lap<|>Winning driver<|>Winning team,Fastest Lap
High school,Pick<|>Round<|>Player<|>Position<|>School,School
Time (greatest),Position<|>Sail number<|>Yacht<|>State/country<|>Yacht type<|>LOA (Metres)<|>Skipper<|>Elapsed time d:hh:mm:ss,Elapsed time d:hh:mm:ss
Time (greatest),Position<|>Sail number<|>Yacht<|>State/country<|>Yacht type<|>LOA (Metres)<|>Skipper<|>Corrected time d:hh:mm:ss,Corrected time d:hh:mm:ss
Start Time,Game<|>Date<|>Location<|>Time<|>Attendance,Time
Cross-section area (cm 2 ),Rank<|>Municipality<|>Province<|>Status<|>Area (km 2 ),Area (km 2 )
4th place,Date<|>Location<|>Discipline<|>Winner<|>2nd place<|>3rd place,3rd place
Original air date,No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>U.S. viewers (millions)<|>Original U.S. air date<|>Prod. code,Original U.S. air date
ZIP code Prefix(es),No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>U.S. viewers (millions)<|>Original U.S. air date<|>Prod. code,Prod. code
Year ended,Rank<|>Player<|>From<|>Transfer Fee (€ millions)<|>Year,Year
Female Artist of the Year,Season<|>Rounds<|>Champion<|>Most tries<|>Player of the Year,Player of the Year
Last season,Season<|>Rounds<|>Champion<|>Most tries<|>Player of the Year,Season
High school,Round<|>Pick<|>Name<|>Position<|>School,School
Last season,Season<|>Champion<|>Runner-Up<|>3rd Position<|>Top Goalscorer(s)<|>Team(s),Season
Opponent in the Final,Club<|>Position in 2012<|>First season in top division<|>Number of seasons in Meistriliiga<|>First season of current spell in top division<|>Top division titles,First season of current spell in top division
Weeks in top 12,Club<|>Position in 2012<|>First season in top division<|>Number of seasons in Meistriliiga<|>First season of current spell in top division<|>Top division titles,First season in top division
Position in 2013,Club<|>Position in 2012<|>First season in top division<|>Number of seasons in Meistriliiga<|>First season of current spell in top division<|>Top division titles,Position in 2012
Last season,Season<|>Men's singles<|>Women's singles<|>Men's doubles<|>Women's doubles<|>Mixed doubles,Season
Year ended,Year<|>National Champion<|>Runner-Up<|>Location<|>Host,Year
1st Round,Event<|>2nd round<|>Quarterfinal<|>Semifinal<|>Final<|>Rank,2nd round
2009,Type of service<|>2006<|>2007<|>2008<|>Change 06-07<|>Change 07-08,2008
Original Canadian air date,No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>Original air date<|>Survivor count,Original air date
Rushing yards,Player<|>Rec.<|>Yards<|>Avg.<|>TD's<|>Long,Yards
Year ended,Year<|>Starts<|>Wins<|>Top 10<|>Avg. Start<|>Avg. Finish<|>Winnings<|>Position<|>Team(s),Year
Weeks in top 12,Year<|>Starts<|>Wins<|>Top 10<|>Avg. Start<|>Avg. Finish<|>Winnings<|>Position<|>Team(s),Top 10
Last season,Wicket<|>Runs<|>Batting partners<|>Batting team<|>Fielding team<|>Venue<|>Season,Season
Last season,Runs<|>Wicket<|>Batting partners<|>Batting team<|>Fielding team<|>Venue<|>Season,Season
Year [A ],Year (Ceremony)<|>Film title used in nomination<|>Original title<|>Director<|>Result,Year (Ceremony)
Original Canadian air date,No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>Storyboarded by<|>Original air date<|>Production code,Original air date
Votes (SW Eng),Name (English)<|>Name (German)<|>Abbr.<|>Ideology<|>Position<|>Votes (2011)<|>Seats in Hamburgische Bürgerschaft,Votes (2011)
Last season,Season<|>GP<|>W (OT/SO)<|>L (OT/SO)<|>Pts<|>Pts/GP<|>GF – GA<|>Rank (league/conference)<|>Top Scorer,Season
Opponent in the Final,Year<|>Championship<|>Surface<|>Partner<|>Opponents in final<|>Score in final,Opponents in final
Year ended,Year<|>Championship<|>Surface<|>Partner<|>Opponents in final<|>Score in final,Year
Final score,Year<|>Championship<|>Surface<|>Partner<|>Opponents in final<|>Score in final,Score in final
Original Canadian air date,No. in series<|>No. in season<|>Title<|>Directed By<|>Written By<|>Original air date,Original air date
Year ended,Year<|>Population (Region total)<|>Population (Stanthorpe)<|>Population (Warwick)<|>Population (Allora)<|>Population (Glengallan)<|>Population (Rosenthal),Year
Aver- age popu- lation (x 1000),Year<|>Population (Region total)<|>Population (Stanthorpe)<|>Population (Warwick)<|>Population (Allora)<|>Population (Glengallan)<|>Population (Rosenthal),Population (Region total)
Population 2007 census(hab),Year<|>Population (Region total)<|>Population (Stanthorpe)<|>Population (Warwick)<|>Population (Allora)<|>Population (Glengallan)<|>Population (Rosenthal),Population (Stanthorpe)
High school,School<|>Record<|>Conference<|>Conf. record<|>Last app.<|>Seed<|>Round eliminated<|>Lost to (Seed),School
"$50,000 to $60,000",School<|>Record<|>Conference<|>Conf. record<|>Last app.<|>Seed<|>Round eliminated<|>Lost to (Seed),Lost to (Seed)
"Last Current driver(s) September 22, 2013",School<|>Record<|>Conference<|>Conf. record<|>Last app.<|>Seed<|>Round eliminated<|>Lost to (Seed),Last app.
Year ended,Year<|>Grand Slam<|>Round<|>Winner<|>Loser,Year
Year ended,Year<|>Round<|>Player<|>Nationality<|>Position<|>College/High School/Club,Year
Original Canadian air date,Series #<|>Season #<|>Title<|>Directed by<|>Written by<|>Original air date<|>U.S. viewers (millions),Original air date
Year ended,Year<|>English title<|>Original title<|>Country<|>Director,Year
January,Game<|>March<|>Opponent<|>Score<|>Record<|>Points,March
Total Apps (Sub),Name<|>Position<|>League Apps<|>League Goals<|>FA Cup Apps<|>FA Cup Goals<|>League Cup Apps<|>League Cup Goals<|>Total Apps<|>Total Goals,Total Apps
Cup Apps,Name<|>Position<|>League Apps<|>League Goals<|>FA Cup Apps<|>FA Cup Goals<|>League Cup Apps<|>League Cup Goals<|>Total Apps<|>Total Goals,FA Cup Apps
Ceased to be Duchess,Name<|>Birth<|>Marriage<|>Became Duke<|>Ceased to be Duke<|>Death<|>Spouse,Ceased to be Duke
Last season,Season<|>Division<|>Rank<|>Avg.Att.<|>Top Goalscorer<|>Goals,Season
Last season,Season<|>Division<|>Rank<|>Avg.Att.<|>Europe<|>Top Goalscorer<|>Goals,Season
Year ended,Year<|>2011<|>2010<|>2009<|>2008<|>2007<|>2006<|>2005,Year
High school,School<|>Location<|>Mascot<|>IHSAA Class<|>County<|>Year Joined<|>Year Left<|>Conference Joined,School
IHSAA Class  Football Class,School<|>Location<|>Mascot<|>IHSAA Class<|>County<|>Year Joined<|>Year Left<|>Conference Joined,IHSAA Class
Year ended,Year<|>Home Team<|>Away Team<|>Winner<|>Score,Year
Year ended,Year<|>Winner<|>Runner-up<|>Venue<|>Location,Year
Last season,Season<|>Skip<|>Third<|>Second<|>Lead<|>Alternate<|>Events,Season
Position in 2006,Team<|>Location<|>Venue<|>Capacity<|>Position in 1999,Position in 1999
Last season,Season<|>Mens singles<|>Womens singles<|>Mens doubles<|>Womens doubles<|>Mixed doubles,Season
Original air date,No. in series<|>Title<|>Directed by<|>Written by<|>U.S. viewers (millions)<|>Original U.S. air date<|>Prod. code,Original U.S. air date
ZIP code Prefix(es),No. in series<|>Title<|>Directed by<|>Written by<|>U.S. viewers (millions)<|>Original U.S. air date<|>Prod. code,Prod. code
High school,School<|>City<|>Team Name<|>County<|>Year Joined<|>Year Left,School
Start Time,Time<|>Wind<|>Athlete<|>Nationality<|>Location of race<|>Date,Time
High school,School<|>City<|>Team Name<|>Enrollment 08-09<|>IHSAA Class<|>IHSAA Class Football<|>County<|>Year Joined (Or Joining)<|>Previous Conference,School
IHSAA Class  Football Class,School<|>City<|>Team Name<|>Enrollment 08-09<|>IHSAA Class<|>IHSAA Class Football<|>County<|>Year Joined (Or Joining)<|>Previous Conference,IHSAA Class Football
August,Game<|>October<|>Opponent<|>Score<|>Record<|>Points,October
January,Game<|>November<|>Opponent<|>Score<|>Record<|>Points,November
January,Game<|>February<|>Opponent<|>Score<|>Record<|>Points,February
Original Canadian air date,Series #<|>Season #<|>Title<|>Director<|>Writer(s)<|>Original air date,Original air date
year,Class<|>Wheel arrangement<|>LCDR number(s)<|>SECR numbers<|>Manufacturer<|>Year made<|>Quantity made<|>Quantity preserved<|>Year(s) withdrawn,Year made
High school,School<|>Location<|>Mascot<|>County<|>Enrollment<|>IHSAA Class<|>Year Joined<|>Previous Conference,School
IHSAA Class  Football Class,School<|>Location<|>Mascot<|>County<|>Enrollment<|>IHSAA Class<|>Year Joined<|>Previous Conference,IHSAA Class
Year ended,Year<|>Tournament<|>Venue<|>Result<|>Extra,Year
Year ended,Year<|>Men's Singles<|>Women's Singles<|>Men's Doubles<|>Women's Doubles<|>Mixed Doubles,Year
Date of designation,Team<|>Outgoing manager<|>Manner of departure<|>Date of vacancy<|>Replaced by<|>Date of appointment,Date of appointment
Height (m ft),Years as tallest<|>Name<|>Height (m)<|>Height (ft)<|>Floors<|>Location,Height (m)
Height (m ft),Name<|>Height (m)<|>Height (ft)<|>Location<|>Year built,Height (m)
Year ended,Artist<|>Album<|>Country<|>Year<|>Catalog #<|>Format,Year
Year ended,Year<|>Winner<|>Score<|>Runner(s)-up<|>Winner's share ($)<|>Course<|>Location,Year
"$50,000 to $60,000",Year<|>Winner<|>Score<|>Runner(s)-up<|>Winner's share ($)<|>Course<|>Location,Winner's share ($)
Year ended,Year<|>Winner<|>Score<|>Runner(s)-up<|>Course<|>Location,Year
